LastName,Rating,Product,Date,Blank,UserEmail,ContractStatus,Account Importance
V33,Hot,Gold Loan,26/06/1991,,autoall@crmnext.com,Draft,Low
V34,Hot,Gold Loan,26/06/1992,,autoall@crmnext.com,Draft,Low
V35,Hot,Gold Loan,26/06/1993,,autoall@crmnext.com,Draft,Low
V36,Hot,Gold Loan,26/06/1994,,autoall@crmnext.com,Draft,Low
V37,Hot,Gold Loan,26/06/1995,,autoall@crmnext.com,Draft,Low
V38,Hot,Gold Loan,26/06/1996,,autoall@crmnext.com,Draft,Low
V39,Hot,Gold Loan,26/06/1997,,autoall@crmnext.com,Draft,Low
V40,Hot,Gold Loan,26/06/1998,,autoall@crmnext.com,Draft,Low
V41,Hot,Gold Loan,26/06/1999,,autoall@crmnext.com,Draft,Low
V42,Hot,Gold Loan,26/06/2000,,autoall@crmnext.com,Draft,Low
